"","Name","Rank","City","State","Zip","Latitude","Longitude","ADMrate","Ownership","Setting","SAT","AvgCost","Major_agriculture","Major_NatureResource","Major_Architecture","Major_CS","Major_Engineering","Major_Bio","Major_MathStat","Major_Psychology","Major_SocialScience","Major_Business","Major_History"
"100","Furman University",100,"Greenville","SC","29613-6162","34.920785","-82.441473","0.6871",2,"11","NULL",57276,"0","0","0","1","1","1","1","1","1","1","1"
"101","Rhode Island School of Design",101,"Providence","RI","02903-2784","41.825935","-71.407692","0.3259",2,"11","1254",61352,"0","0","1","0","0","0","0","0","0","0","0"
"102","Case Western Reserve University",102,"Cleveland","OH","44106","41.500812","-81.605769","0.3831",2,"17","1375",57405,"0","1","1","1","1","1","1","1","1","1","1"
"103","Sarah Lawrence College",103,"Bronxville","NY","10708","40.934147","-73.84381","0.5314",2,"11","NULL",64056,"0","0","0","0","0","0","0","0","0","0","0"
"104","Providence College",104,"Providence","RI","02918-0001","41.844064","-71.43792","0.6306",2,"14","NULL",57517,"0","0","0","1","1","1","1","1","1","1","1"
"105","University of California-Santa Barbara",105,"Santa Barbara","CA","93106","34.416281","-119.846404","0.3634",1,"16","1253",33826,"0","1","0","1","1","1","1","1","1","1","1"
"106","Indiana University-Bloomington",106,"Bloomington","IN","47405-7000","39.166383","-86.526904","0.7609",1,"16","1198",23716,"0","1","0","1","0","1","1","1","1","2","1"
"107","Southern Methodist University",107,"Dallas","TX","75275-0221","32.845254","-96.784855","0.524",2,"14","1316",60938,"0","1","0","1","1","1","1","1","1","1","1"
"108","University of California-San Diego",108,"La Jolla","CA","92093","32.876598","-117.237793","0.3329",1,"16","1313",30092,"0","1","0","1","1","1","1","1","1","1","1"
"109","Virginia Polytechnic Institute and State University",109,"Blacksburg","VA","24061-0131","37.228572","-80.423229","0.7263",1,"16","1215",26165,"1","1","1","1","1","1","1","1","1","1","1"
"110","University of Minnesota-Twin Cities",110,"Minneapolis","MN","55455-0213","44.977886","-93.235352","0.4535",1,"15","1271",24551,"1","1","1","2","2","1","1","1","1","2","1"
"111","University of Colorado Boulder",111,"Boulder","CO","80309-0017","40.004415","-105.267061","0.8416",1,"16","1207",28887,"0","1","1","1","1","1","1","1","1","1","1"
"112","Gettysburg College",112,"Gettysburg","PA","17325","39.836091","-77.234982","0.4543",2,"11","NULL",58320,"0","1","0","0","0","1","1","1","1","1","1"
"113","Bard College",113,"Annandale-On-Hudson","NY","12504-5000","42.021803","-73.906243","0.4461",2,"11","NULL",62572,"0","0","0","0","0","0","0","0","1","1","0"
"114","Pitzer College",114,"Claremont","CA","91711-6101","34.103408","-117.705939","0.1302",2,"11","NULL",61416,"0","1","1","1","1","1","1","1","1","1","1"
"115","American University",115,"Washington","DC","20016-8001","38.937802","-77.090106","0.4584",2,"16","1252",56620,"0","1","0","1","0","1","1","1","1","1","1"
"116","University of California-Davis",116,"Davis","CA","95616-8678","38.539895","-121.751958","0.4037",1,"16","1226",32638,"1","1","1","1","1","1","1","1","1","1","1"
"117","Hobart William Smith Colleges",117,"Geneva","NY","14456","42.857725","-76.984533","0.4753",2,"11","NULL",59850,"0","1","1","1","0","1","1","1","1","0","1"
"118","Indiana University-Purdue University-Fort Wayne",118,"Fort Wayne","IN","46805-1499","41.115418","-85.111747","0.9087",1,"12","1002",18755,"0","0","0","2","1","1","1","1","1","1","1"
"119","Muhlenberg College",119,"Allentown","PA","18104","40.597362","-75.508954","0.528",2,"11","NULL",55200,"0","1","0","1","0","1","1","1","1","1","1"
"120","Tulane University of Louisiana",120,"New Orleans","LA","70118-5698","29.939696","-90.120409","0.2795",2,"16","1342",61055,"0","1","1","1","1","1","1","1","1","1","1"
"121","Pepperdine University",121,"Malibu","CA","90263","34.041912","-118.707677","0.3546",2,"14","1234",61164,"0","0","0","1","0","1","1","1","1","1","1"
"122","Earlham College",122,"Richmond","IN","47374-4095","39.822278","-84.911464","0.6452",2,"11","NULL",52710,"0","1","0","1","1","1","1","1","1","1","1"
"123","The College of Wooster",123,"Wooster","OH","44691","40.81046","-81.934674","0.5909",2,"11","1229",53500,"0","0","0","1","0","1","1","1","1","0","1"
"124","Lawrence University",124,"Appleton","WI","54911","44.261323","-88.397822","0.7295",2,"11","NULL",51897,"0","1","0","0","0","1","1","1","1","0","1"
"125","Rensselaer Polytechnic Institute",125,"Troy","NY","12180-3590","42.728983","-73.678768","0.375",2,"14","1372",61820,"0","1","1","1","1","1","1","1","1","1","0"
